name,categories,address,city,postal_code,phone,website,rating,reviews,price_level,lat,lng,place_id,google_maps_url,party_signal,party_evidence,party_page_url,party_page_status,party_details,kid_review_pct,recent_avg_stars,review_red_flags
Jumbaloo Playgrounds,Indoor playground,"3135 Argentia Rd Unit 3, Mississauga, ON L5N 8E1, Canada",Mississauga,L5N 8E1,+19057853990,https://jumbaloo.com/?utm_source=GMBPage&utm_medium=GMB&utm_campaign=GMBClicks,4.8,5523,,43.5966048,-79.7900723,ChIJczo8wrZrK4gRbL8POyZ6eJY,https://www.google.com/maps/search/?api=1&query=Jumbaloo%20Playgrounds&query_place_id=ChIJczo8wrZrK4gRbL8POyZ6eJY,yes,"ndoor playground in Mississauga and Oakville for open play, birthday parties, camps, field trips, and more family fun.""/> <meta ",https://jumbaloo.com/argentia/indoor-birthday-parties/,party_page_found,"prices: $10, $1050, $1200, $150, $20; capacity: 20; duration: 2 hrs",45,5.0,
Aerosports Parks - Scarborough/Toronto,Children's party service; Children's amusement center; Amusement center; Event venue; Go-karting venue; Indoor golf course; Indoor playground; Laser tag center; Party planner,"1120 Birchmount Rd, Scarborough, ON M1K 5G4, Canada",Scarborough,M1K 5G4,+12894545555,https://www.aerosportsparks.ca/scarborough,4.8,2048,,43.7371528,-79.2816051,ChIJx3hMp8LP1IkR5Xf1836aKbA,https://www.google.com/maps/search/?api=1&query=Aerosports%20Parks%20-%20Scarborough%2FToronto&query_place_id=ChIJx3hMp8LP1IkR5Xf1836aKbA,yes,"><meta name=""description"" content=""Bounce, race, play &amp; celebrate at AeroSports Scarborough Ridgeway! Featuring trampolines,",https://www.aerosportsparks.ca/scarborough/kids-birthday-parties,party_page_found,"prices: $10, $14, $149, $19, $20; capacity: 12; duration: 24 hours; ages: 4-13",45,4.8,"We had a great experience at AeroSports! The facility is clean, spacio; We had such an amazing experience hosting my sisters party at Aerospor"
Aerosports Brampton,Children's amusement center; Indoor playground; Children's party service,"100 Westcreek Blvd, Brampton, ON L6T 5V7, Canada",Brampton,L6T 5V7,+19057962376,https://www.aerosportsbrampton.ca/,4.3,2848,,43.679065,-79.7045938,ChIJi-D951o-K4gR_Cjr1zXfR6M,https://www.google.com/maps/search/?api=1&query=Aerosports%20Brampton&query_place_id=ChIJi-D951o-K4gR_Cjr1zXfR6M,yes,st.com/wordpress/plugins/seo/ --> Trampoline Park | Birthday Parties &amp; Indoor Play | Aerosports Brampton <m,https://aerosportsbrampton.ca/kids-birthday-parties/,party_page_found,"prices: $280, $319, $33, $356, $375; duration: 2 Hour",70,5.0,
Aerosports Trampoline Parks - Oakville-Mississauga,Children's amusement center; Children's party service; Event planner; Event venue; Indoor playground; Party planner; Recreation center; Sports complex; Summer camp organizer,"2679 Bristol Cir, Oakville, ON L6H 6Z8, Canada",Oakville,L6H 6Z8,+19058292989,https://www.aerosportsparks.ca/oakville?utm_source=google&utm_medium=organic&utm_campaign=gmboak,4.7,5596,,43.5113182,-79.6879043,ChIJeXJw2wZDK4gRiwjE_63bzug,https://www.google.com/maps/search/?api=1&query=Aerosports%20Trampoline%20Parks%20-%20Oakville-Mississauga&query_place_id=ChIJeXJw2wZDK4gRiwjE_63bzug,yes,"/title><meta name=""description"" content=""Bounce, play &amp; celebrate at AeroSports Mississauga Ridgeway! Indoor playground &amp",https://www.aerosportsparks.ca/oakville/kids-birthday-parties,party_page_found,"prices: $13, $16, $189, $19, $20; capacity: 150; duration: 24 hours; ages: 4-13",25,5.0,
Kidsports Indoor Playground Mississauga,Indoor playground,"4500 Dixie Rd, Mississauga, ON L4W 1V7, Canada",Mississauga,L4W 1V7,+19056249400,https://www.kidsportsindoorplayground.com/?utm_source=google&utm_medium=gmbClick&utm_campaign=gmb-click&utm_id=click,4.3,2192,,43.631988,-79.6163682,ChIJleyAOIU4K4gRzQuAChv4oRw,https://www.google.com/maps/search/?api=1&query=Kidsports%20Indoor%20Playground%20Mississauga&query_place_id=ChIJleyAOIU4K4gRzQuAChv4oRw,yes,"yground in Mississauga offering open play, kids activities, birthday parties, camps and more.""/><meta name=""keywords"" content=""k",https://www.kidsportsindoorplayground.com/book,party_page_found,"prices: $15, $25, $399, $499, $599; capacity: 30; duration: 2 hours",60,4.8,We came for the first time in about two years and were shocked it was 
Centreville Amusement Park,Amusement park; Amusement center; Park; Tourist attraction,"9 Queens Quay W, Toronto, ON M5J 2H3, Canada",Toronto,M5J 2H3,+14162030405,http://centreisland.ca/,4.4,6612,,43.6202922,-79.3735438,ChIJHfvjUSrL1IkRKR1Q--KUUi8,https://www.google.com/maps/search/?api=1&query=Centreville%20Amusement%20Park&query_place_id=ChIJHfvjUSrL1IkRKR1Q--KUUi8,yes,"ject-page menu-item-72121""> Birthday Parties <li id=""men",https://centreisland.ca/birthday-parties/,party_page_found,"prices: $100, $35, $695",10,4.3,; Awful service at the ticket counter and extremely slow with each guest; The ferry ride was the longest wait.  Took our time to wander through 
GlowZone 360,Laser tag center; Miniature golf course; Video arcade,"9446 McLaughlin Rd N, Brampton, ON L6X 4H9, Canada",Brampton,L6X 4H9,+19054974569,http://www.glowzone360.com/,4.5,1817,,43.684487,-79.7828821,ChIJN9kKba0VK4gR9LACrkVeiK8,https://www.google.com/maps/search/?api=1&query=GlowZone%20360&query_place_id=ChIJN9kKba0VK4gR9LACrkVeiK8,yes,"t-custom menu-item-has-children menu-item-1881""> PARTIES &#038; EVENTS <li id=""menu-item-",https://glowzone360.com/,party_page_found,prices: $16,45,4.8,The experience was so good kids really enjoyed the games I highly reco; We had an absolute blast at GlowZone 360 for our last minute event on 
Air Riderz Mississauga - Kids Indoor Playground & Birthday Party Place,Children's amusement center; Amusement center; Amusement park; Indoor playground; Children's party service; Event venue; Recreation center,"3600 Ridgeway Dr Unit 4 & 5, Mississauga, ON L5L 0B4, Canada",Mississauga,L5L 0B4,+19058207500,https://www.airriderz.com/mississauga/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,4.4,3542,,43.5248891,-79.7119554,ChIJM8ghe1tCK4gRkt9KTk7qYQw,https://www.google.com/maps/search/?api=1&query=Air%20Riderz%20Mississauga%20-%20Kids%20Indoor%20Playground%20%26%20Birthday%20Party%20Place&query_place_id=ChIJM8ghe1tCK4gRkt9KTk7qYQw,yes,oter #menu-attractions-activities{display:none}footer #menu-parties-events{display:none}footer .menu-title{display:none}footer ,https://www.airriderz.com/mississauga/parties-events/,party_page_found,"prices: $11, $15, $19, $22, $25; capacity: 20; duration: 1 hour",5,5.0,
"Levelup Virtual Reality (VR) Arcade | Events, Parties, & Team Building",Video arcade; Adventure sports center; Amusement center; Bar; Event planner; Event venue; Flight school; Laser tag center; Tourist attraction,"661 Yonge St Lower Level, Toronto, ON M4Y 1Z9, Canada",Toronto,M4Y 1Z9,+18335383587,https://www.levelupreality.ca/toronto/?UTM_source=GMB_listing&UTM_medium=organic,4.9,1874,,43.6682856,-79.3858029,ChIJQ9zscLU0K4gRx3YDSMNESs8,https://www.google.com/maps/search/?api=1&query=Levelup%20Virtual%20Reality%20(VR)%20Arcade%20%7C%20Events%2C%20Parties%2C%20%26%20Team%20Building&query_place_id=ChIJQ9zscLU0K4gRx3YDSMNESs8,yes,"y (VR) Arcade | Corporate Events, Team Building Activities, Birthday Parties, Group Activities, Date Night Ideas, Flight Simulat",,site_unreachable,,15,4.9,"Eventhoug we are not a tech savvy family, we had a fantastic time, my ; Very cool!
Brought my 13yr old nephew for his bday and we both had an "
The Rec Room Roundhouse,Amusement center; Restaurant; Bar; Event venue; Pool billard club; Video arcade,"255 Bremner Blvd, Toronto, ON M5V 3L9, Canada",Toronto,M5V 3L9,+14168150086,https://www.therecroom.com/toronto-roundhouse?utm_source=google-my-business_TorontoRoundhouse&utm_medium=profile&utm_campaign=owned_media,4,9289,,43.6412417,-79.3867806,ChIJiTDHQZ02K4gRmbXbmJwl7CU,https://www.google.com/maps/search/?api=1&query=The%20Rec%20Room%20Roundhouse&query_place_id=ChIJiTDHQZ02K4gRmbXbmJwl7CU,yes,"oy live music, team building activities, and host your next birthday party. Find fun things to do in Toronto this weekend, inclu",https://www.therecroom.com/toronto-roundhouse/parties-groups,party_page_found,"prices: $103, $120, $13, $18, $23; capacity: 40",20,4.2,"Decent place, albeit overpriced; El doble de caro que en Vancouver y las mesas de billar horribles. Hag; This afternoon, August 30,2026 we visited The Rec Room, and unfortunat"
